source_row,Student ID,column,value,z_score,abs_z,iqr_flag,z_flag
596088,31010022,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
596486,31010420,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
597191,31011125,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
597310,32000076,Geography,9.75,3.0823841570231285,3.0823841570231285,True,True
597378,32000144,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
597965,32000731,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
598321,32001087,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
598385,32001151,Geography,1.75,-3.7626480828153888,3.7626480828153888,True,True
598400,32001166,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
598456,32001222,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
598849,32001615,Geography,9.5,2.868476899528175,2.868476899528175,True,False
598875,32001641,Geography,9.5,2.868476899528175,2.868476899528175,True,False
599029,32001795,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
599202,32001968,Geography,0.0,-5.259998885280065,5.259998885280065,True,True
599277,32002043,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
599349,32002115,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
600006,32002772,Geography,9.5,2.868476899528175,2.868476899528175,True,False
600068,32002834,Geography,2.25,-3.3348335678254815,3.3348335678254815,True,True
600533,32003299,Geography,9.5,2.868476899528175,2.868476899528175,True,False
600644,32003410,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
600794,32003560,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
600829,32003595,Geography,0.0,-5.259998885280065,5.259998885280065,True,True
601058,32003824,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
601074,32003840,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
601111,32003877,Geography,2.0,-3.548740825320435,3.548740825320435,True,True
601124,32003890,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
601128,32003894,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
601146,32003912,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
601245,32004011,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
601248,32004014,Geography,2.25,-3.3348335678254815,3.3348335678254815,True,True
601276,32004042,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
601309,32004075,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
601314,32004080,Geography,1.5,-3.9765553403103424,3.9765553403103424,True,True
601322,32004088,Geography,0.0,-5.259998885280065,5.259998885280065,True,True
601336,32004102,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
601339,32004105,Geography,1.25,-4.190462597805296,4.190462597805296,True,True
601365,32004131,Geography,0.0,-5.259998885280065,5.259998885280065,True,True
601389,32004155,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
601395,32004161,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
601415,32004181,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
601419,32004185,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
601448,32004214,Geography,0.0,-5.259998885280065,5.259998885280065,True,True
601459,32004225,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
601465,32004231,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
601477,32004243,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
601529,32004295,Geography,2.25,-3.3348335678254815,3.3348335678254815,True,True
601538,32004304,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
601635,32004401,Geography,2.25,-3.3348335678254815,3.3348335678254815,True,True
601652,32004418,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
601689,32004455,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
601904,32004670,Geography,9.5,2.868476899528175,2.868476899528175,True,False
602106,32004872,Geography,9.5,2.868476899528175,2.868476899528175,True,False
602119,32004885,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
602468,32005234,Geography,9.5,2.868476899528175,2.868476899528175,True,False
602632,32005398,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
602822,32005588,Geography,9.5,2.868476899528175,2.868476899528175,True,False
603212,32005978,Geography,9.5,2.868476899528175,2.868476899528175,True,False
